state,destination,latitude,longitude,interest,region,type,activities,budget_category,best_season,rating,popularity_score,description
delhi,Garden of Five Senses,28.513403,77.1975227,natural landscapes & wildlife,North,wildlife,"safari,photography,nature",low,winter,4.1,64,"Garden of Five Senses is a wildlife destination in delhi known for safari,photography,nature. It is ideal for history and cultural lover"
delhi,Lodhi Garden,28.5936814,77.2218338,natural landscapes & wildlife,North,wildlife,"safari,photography,nature",low,winter,4.5,55,"Lodhi Garden is a wildlife destination in delhi known for safari,photography,nature. It is ideal for history and cultural lover"
delhi,National Gallery of Modern Art,28.6101926,77.2344179,"arts, science & literature attractions",North,city,"exploration,local experience",low,All,4.5,80,"National Gallery of Modern Art is a city destination in delhi known for exploration,local experience. It is ideal for explorers and tourists"
delhi,National Zoological Park ,38.9296156,77.0497844,natural landscapes & wildlife,North,wildlife,"safari,photography,nature",medium,winter,4.1,54,"National Zoological Park  is a wildlife destination in delhi known for safari,photography,nature. It is ideal for history and cultural lover"
delhi,Qutub Minar,28.5244946,77.1855177,cultural & heritage sites,North,heritage,"culture,forts,shopping,history",low,winter,4.5,94,"Qutub Minar is a heritage destination in delhi known for culture,forts,shopping,history. It is ideal for history and culture lovers"
delhi,Shopping at Sarojini Nagar,28.5740324,77.1990669,shopping & markets,North,city,"exploration,local experience",low,All,4.2,51,"Shopping at Sarojini Nagar is a city destination in delhi known for exploration,local experience. It is ideal for explorers and tourists"
delhi,National Science Centre,28.6127836,77.2455584,"arts, science & literature attractions",North,city,"exploration,local experience",medium,All,4.4,85,"National Science Centre is a city destination in delhi known for exploration,local experience. It is ideal for explorers and tourists"
maharashtra,Marine Drive,18.9432111,72.8229983,sightseeing & exploration,West,city,"exploration,local experience",low,All,4.5,54,"Marine Drive is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
maharashtra,Gateway of India,18.9219841,72.8346543,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.6,82,"Gateway of India is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
maharashtra,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,18.9269015,72.8326916,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",luxury,winter,4.6,65,"Chhatrapati Shivaji Maharaj Vastu Sangrahalaya is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
maharashtra,NCPA Tiger safari at Borivali,19.2307329,72.856673,adventure & outdoor activities,West,adventure,"trekking,rafting,paragliding",medium,summer,4.3,54,"NCPA Tiger safari at Borivali is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
maharashtra,Shopping at Colaba Causeway,18.9246447,72.8321315,shopping & markets,West,city,"exploration,local experience",low,All,4.2,71,"Shopping at Colaba Causeway is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
maharashtra,"Shopping at Linking road, Bandra",19.0642357,72.8349124,shopping & markets,West,city,"exploration,local experience",low,All,4.2,54,"Shopping at Linking road, Bandra is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
maharashtra,"Phoenix marketcity Mall, Kurla",19.0863795,72.8889774,shopping & markets,West,city,"exploration,local experience",low,All,4.5,91,"Phoenix marketcity Mall, Kurla is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
maharashtra,"Jio world drive mall, BKC",19.0543152,72.8515712,"arts, science & literature attractions",West,city,"exploration,local experience",low,All,4.6,69,"Jio world drive mall, BKC is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
maharashtra,"Five gardens, Matunga",19.019747,72.854312,sightseeing & exploration,West,city,"exploration,local experience",low,All,4.1,95,"Five gardens, Matunga is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
maharashtra,Worli seaface,19.0091432,72.8157283,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.5,62,"Worli seaface is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
maharashtra,Siddhivinayak Temple,19.01699,72.8303997,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.8,55,"Siddhivinayak Temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
maharashtra,Mahalaxmi Temple,18.9773,72.8066,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.7,89,"Mahalaxmi Temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
maharashtra,Haji Ali Dargah,18.9828273,72.8088966,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.4,98,"Haji Ali Dargah is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
maharashtra,Chowpatty Beach,18.9518622,72.8165592,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.3,89,"Chowpatty Beach is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
maharashtra,Essel World,19.230098,72.8013252,adventure & outdoor activities,West,adventure,"trekking,rafting,paragliding",luxury,summer,4.3,73,"Essel World is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
maharashtra,Elephanta Caves,18.9633474,72.9314864,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",luxury,winter,4.3,52,"Elephanta Caves is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
maharashtra,Tigers Leap cliff top,18.6961,73.3852,sightseeing & exploration,West,city,"exploration,local experience",low,All,4.4,91,"Tigers Leap cliff top is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
maharashtra,Duke's nose trail,18.7323921,73.3678196,adventure & outdoor activities,West,adventure,"trekking,rafting,paragliding",low,summer,4.3,70,"Duke's nose trail is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
maharashtra,Adlabs Imagica,18.7679396,73.2823206,adventure & outdoor activities,West,adventure,"trekking,rafting,paragliding",luxury,summer,4.0,67,"Adlabs Imagica is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
maharashtra,Bhushi dam,18.7224264,73.3962885,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.0,94,"Bhushi dam is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
maharashtra,Sunset at Lion's point,18.608297,73.3864648,sightseeing & exploration,West,city,"exploration,local experience",low,All,4.0,91,"Sunset at Lion's point is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
karnataka,Bangalore Palace,18.699917,73.3859496,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",luxury,winter,4.2,66,"Bangalore Palace is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers"
karnataka,Lalbagh Botanical Garden,13.0035068,77.5890953,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.4,53,"Lalbagh Botanical Garden is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
karnataka,Cubbon Park,12.9494158,77.5846805,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.4,66,"Cubbon Park is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
karnataka,Nehru Planetarium,12.9779291,77.5951549,"arts, science & literature attractions",South,city,"exploration,local experience",low,All,4.0,98,"Nehru Planetarium is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists"
karnataka,National Gallery of Modern Art,12.5923,77.3517,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.3,98,"National Gallery of Modern Art is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers"
karnataka,Church street,28.6101926,77.2344179,sightseeing & exploration,South,city,"exploration,local experience",low,All,4.1,96,"Church street is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists"
karnataka,MG Road,12.582568,77.364279,sightseeing & exploration,South,city,"exploration,local experience",low,All,4.2,58,"MG Road is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists"
karnataka,Boating at Yediyur lake ,12.9747587,77.6093926,adventure & outdoor activities,South,adventure,"trekking,rafting,paragliding",medium,summer,4.2,51,"Boating at Yediyur lake  is a adventure destination in karnataka known for trekking,rafting,paragliding. It is ideal for adventure lover"
karnataka,Vidhana Soudha,12.93349,77.5766285,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.6,94,"Vidhana Soudha is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers"
karnataka,ISKCON Temple Bangalore,12.9796121,77.5908462,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.6,71,"ISKCON Temple Bangalore is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
telangana,Charminar,13.0098328,77.5510964,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.5,53,"Charminar is a heritage destination in telangana known for culture,forts,shopping,history. It is ideal for history and culture lovers"
telangana,Golconda Fort,17.3615636,78.4746645,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.4,80,"Golconda Fort is a heritage destination in telangana known for culture,forts,shopping,history. It is ideal for history and culture lovers"
telangana,Hussain Sagar Lake,17.383309,78.4010528,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.3,95,"Hussain Sagar Lake is a wildlife destination in telangana known for safari,photography,nature. It is ideal for history and cultural lover"
telangana,Ramoji Film City,17.4238798,78.4738215,"arts, science & literature attractions",South,city,"exploration,local experience",luxury,All,4.4,96,"Ramoji Film City is a city destination in telangana known for exploration,local experience. It is ideal for explorers and tourists"
telangana,Salar Jung Museum,17.221713,78.284925,"arts, science & literature attractions",South,city,"exploration,local experience",low,All,4.4,79,"Salar Jung Museum is a city destination in telangana known for exploration,local experience. It is ideal for explorers and tourists"
telangana,Qutb Shahi Tombs,17.3716084,78.4802439,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.4,52,"Qutb Shahi Tombs is a heritage destination in telangana known for culture,forts,shopping,history. It is ideal for history and culture lovers"
telangana,Lad Bazaar ,17.3973706,78.4001141,shopping & markets,South,city,"exploration,local experience",low,All,4.0,53,"Lad Bazaar  is a city destination in telangana known for exploration,local experience. It is ideal for explorers and tourists"
telangana,Birla Mandir,17.3628791,78.4741288,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.7,97,"Birla Mandir is a religious destination in telangana known for temple,spiritual,peace. It is ideal for spiritual seekers"
telangana,Chowmahalla Palace,17.212781,78.281814,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",medium,winter,4.4,52,"Chowmahalla Palace is a heritage destination in telangana known for culture,forts,shopping,history. It is ideal for history and culture lovers"
telangana,Nehru Zoological Park,17.3578233,78.4716897,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",medium,winter,4.2,92,"Nehru Zoological Park is a wildlife destination in telangana known for safari,photography,nature. It is ideal for history and cultural lover"
telangana,Infinite adventure club,17.3483047,78.4425108,adventure & outdoor activities,South,adventure,"trekking,rafting,paragliding",luxury,summer,4.4,89,"Infinite adventure club is a adventure destination in telangana known for trekking,rafting,paragliding. It is ideal for adventure lover"
telangana,Lumbini Park,17.4458759,78.4186335,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.1,77,"Lumbini Park is a wildlife destination in telangana known for safari,photography,nature. It is ideal for history and cultural lover"
west bengal,Victoria Memorial,17.4096811,78.4724344,cultural & heritage sites,East,heritage,"culture,forts,shopping,history",low,winter,4.6,72,"Victoria Memorial is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers"
west bengal,Howrah Bridge,22.5448082,88.3425578,cultural & heritage sites,East,heritage,"culture,forts,shopping,history",low,winter,4.6,79,"Howrah Bridge is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers"
west bengal,Indian Museum,22.5851433,88.3468005,"arts, science & literature attractions",East,city,"exploration,local experience",medium,All,4.6,94,"Indian Museum is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
west bengal,Ganga aarti,22.5578858,88.3511268,religious & spiritual pilgrimages,East,religious,"temple,spiritual,peace",low,all,4.6,83,"Ganga aarti is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
west bengal,Birla Planetarium,27.40364009,83.00912405,"arts, science & literature attractions",East,city,"exploration,local experience",medium,All,4.4,77,"Birla Planetarium is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
west bengal,St.Pauls Cathedral,22.5455141,88.3473163,religious & spiritual pilgrimages,East,religious,"temple,spiritual,peace",low,all,4.2,63,"St.Pauls Cathedral is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
west bengal,Tiretti Bazaar,22.57285,88.356,shopping & markets,East,city,"exploration,local experience",low,All,4.1,92,"Tiretti Bazaar is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
west bengal,Princep Ghat,22.5739086,88.3555988,cultural & heritage sites,East,heritage,"culture,forts,shopping,history",low,winter,4.3,68,"Princep Ghat is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers"
west bengal,Kumartali potter's quarter,22.5552828,88.3311699,"arts, science & literature attractions",East,city,"exploration,local experience",low,All,4.4,83,"Kumartali potter's quarter is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
west bengal,Shopping at Chamba lama,22.6000017,88.3612679,shopping & markets,East,city,"exploration,local experience",low,All,4.3,72,"Shopping at Chamba lama is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
west bengal,Burra Bazaar,22.5599918,88.3531374,shopping & markets,East,city,"exploration,local experience",low,All,4.0,81,"Burra Bazaar is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
west bengal,Dakshineswar Kali Temple,22.5817406,88.3543972,religious & spiritual pilgrimages,East,religious,"temple,spiritual,peace",low,all,4.7,89,"Dakshineswar Kali Temple is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
west bengal,Kalighat Kali Temple,22.6549087,88.3575307,religious & spiritual pilgrimages,East,religious,"temple,spiritual,peace",low,all,4.4,74,"Kalighat Kali Temple is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
west bengal,Eden Gardens,22.5202798,88.3420877,sports & recreation,East,city,"exploration,local experience",luxury,All,4.1,93,"Eden Gardens is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
west bengal,Alipore Zoological Gardens,22.5646081,88.3432645,natural landscapes & wildlife,East,wildlife,"safari,photography,nature",low,winter,4.3,97,"Alipore Zoological Gardens is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
west bengal,Science City Kolkata,22.5370343,88.3316697,"arts, science & literature attractions",East,city,"exploration,local experience",medium,All,4.4,96,"Science City Kolkata is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
west bengal,Belur Math,22.5401381,88.3960564,religious & spiritual pilgrimages,East,religious,"temple,spiritual,peace",low,all,4.7,52,"Belur Math is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
west bengal,Marble Palace,22.6326565,88.3563815,cultural & heritage sites,East,heritage,"culture,forts,shopping,history",low,winter,4.4,71,"Marble Palace is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers"
goa,Basilica of Bom Jesus,15.5008,73.9114,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.5,69,"Basilica of Bom Jesus is a religious destination in goa known for temple,spiritual,peace. It is ideal for spiritual seekers"
goa,Fort Aguada,15.5008238,73.9114061,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.2,93,"Fort Aguada is a heritage destination in goa known for culture,forts,shopping,history. It is ideal for history and culture lovers"
goa,Dudhsagar Falls,15.4922519,73.7737462,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",luxury,winter,4.6,60,"Dudhsagar Falls is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
goa,Anjuna Beach,15.3144375,74.3143073,adventure & outdoor activities,West,adventure,"trekking,rafting,paragliding",low,summer,4.4,64,"Anjuna Beach is a adventure destination in goa known for trekking,rafting,paragliding. It is ideal for adventure lover"
goa,Chapora Fort,15.5733497,73.7409781,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.2,99,"Chapora Fort is a heritage destination in goa known for culture,forts,shopping,history. It is ideal for history and culture lovers"
goa,Se Cathedral,15.6046375,73.7369631,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.5,87,"Se Cathedral is a religious destination in goa known for temple,spiritual,peace. It is ideal for spiritual seekers"
goa,Baga Beach,15.5038769,73.9121918,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.5,99,"Baga Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
goa,Candolim Beach,15.5552787,73.7517307,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.4,61,"Candolim Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
goa,Fontainhas colony,15.5179749,73.7626122,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.2,97,"Fontainhas colony is a heritage destination in goa known for culture,forts,shopping,history. It is ideal for history and culture lovers"
goa,Shopping at M.G.Road,15.4941033,73.8300775,shopping & markets,West,city,"exploration,local experience",low,All,4.1,99,"Shopping at M.G.Road is a city destination in goa known for exploration,local experience. It is ideal for explorers and tourists"
goa,Gallery Gitanjali,12.9747587,77.6093926,"arts, science & literature attractions",West,city,"exploration,local experience",low,All,4.5,72,"Gallery Gitanjali is a city destination in goa known for exploration,local experience. It is ideal for explorers and tourists"
goa,Our Lady of Immaculate Conception Church,15.4986,73.8294,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.4,68,"Our Lady of Immaculate Conception Church is a religious destination in goa known for temple,spiritual,peace. It is ideal for spiritual seekers"
goa,Old Goa,15.5014,73.9135,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.5,71,"Old Goa is a heritage destination in goa known for culture,forts,shopping,history. It is ideal for history and culture lovers"
goa,Arambol Beach,15.501984,73.9100068,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.6,86,"Arambol Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
goa,Palolem Beach,15.6846886,73.7032836,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.6,60,"Palolem Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
goa,Colva Beach,15.0099648,74.0232186,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.3,55,"Colva Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
goa,Miramar Beach,15.2805316,73.9119945,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.2,71,"Miramar Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
goa,Dr. Salim Ali Bird Santuary,15.513,73.8704,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,3.9,51,"Dr. Salim Ali Bird Santuary is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
gujarat,Statue of Unity,10.1335031,76.6860267,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",medium,winter,4.6,78,"Statue of Unity is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
gujarat,Jhulta Minara,21.8380184,73.7190728,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.1,71,"Jhulta Minara is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
gujarat,Auto World Vintage Car Museum,23.0236789,72.5998114,"arts, science & literature attractions",West,city,"exploration,local experience",medium,All,4.4,86,"Auto World Vintage Car Museum is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists"
gujarat,Sabarmati Ashram,23.0572846,72.6872617,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.6,59,"Sabarmati Ashram is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
gujarat,Dwarka Beach & Lighthouse,23.0358621,72.5701089,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.6,85,"Dwarka Beach & Lighthouse is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover"
gujarat,Rukmini Devi Mandir,22.2441975,68.9684562,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.6,86,"Rukmini Devi Mandir is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
gujarat,Shri Nageshwar Jyotirling,22.2573143,68.9644191,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.7,78,"Shri Nageshwar Jyotirling is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
gujarat,Dwarkadhish Temple,22.3359636,69.0870088,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.7,52,"Dwarkadhish Temple is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
gujarat,Mahabat Maqbara Palace,22.2371082,68.9676255,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.4,90,"Mahabat Maqbara Palace is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
gujarat,Uparkot Fort,21.5275733,70.4599927,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.3,84,"Uparkot Fort is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
gujarat,Sakkarbaug Zoological Park,21.5247475,70.4700532,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.3,72,"Sakkarbaug Zoological Park is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover"
gujarat,Gir National Park,21.5418892,70.4646275,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",luxury,winter,4.5,99,"Gir National Park is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover"
gujarat,Aina Mahal Palace,21.0842848,70.7944414,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.2,50,"Aina Mahal Palace is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
gujarat,Bhuj Mandir,23.2553595,69.6685614,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.7,96,"Bhuj Mandir is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
gujarat,Chhatardi Bhuj,23.2419997,69.6669324,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.4,62,"Chhatardi Bhuj is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
gujarat,Vande Mataram Memorial,23.2457731,69.6581727,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",medium,winter,4.6,50,"Vande Mataram Memorial is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
gujarat,White Desert,23.2187507,69.73645,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.6,97,"White Desert is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover"
gujarat,Sayaji Baug Zoo,22.3115,73.19,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.4,95,"Sayaji Baug Zoo is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover"
gujarat,Inorbit Mall Vadodara,22.3114569,73.191386,shopping & markets,West,city,"exploration,local experience",low,All,4.5,93,"Inorbit Mall Vadodara is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists"
gujarat,Baroda Museum &Gallery,22.3223271,73.1655842,"arts, science & literature attractions",West,city,"exploration,local experience",low,All,4.5,60,"Baroda Museum &Gallery is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists"
gujarat,BAPS Shri Swaminarayan Mandir,22.3117697,73.1887449,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.5,73,"BAPS Shri Swaminarayan Mandir is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
gujarat,Mandvi Gate,22.3001,73.2106,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.4,62,"Mandvi Gate is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
gujarat,Laxmi Vilas Palace,22.300138,73.2106478,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",high,winter,4.4,74,"Laxmi Vilas Palace is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
gujarat,Somnath Beach,22.2935993,73.1919074,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.5,86,"Somnath Beach is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
gujarat,Somnath Temple,20.8841837,70.405855,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.8,89,"Somnath Temple is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
gujarat,Adalaj Stepwell,20.8879899,70.4012569,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.5,85,"Adalaj Stepwell is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
