destination,city,region,type,activities,budget_category,best_season,rating,popularity_score,description
Qutub Minar,Delhi,north,heritage,heritage,low,winter,4.5,94.0,"Qutub Minar is a heritage destination in delhi known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Shopping at Sarojini Nagar,Delhi,north,city,shopping,low,all,4.2,51.0,"Shopping at Sarojini Nagar is a city destination in delhi known for exploration,local experience. It is ideal for explorers and tourists"
National Science Centre,Delhi,north,city,exploration,medium,all,4.4,85.0,"National Science Centre is a city destination in delhi known for exploration,local experience. It is ideal for explorers and tourists"
Marine Drive,Mumbai,west,city,exploration,low,all,4.5,54.0,"Marine Drive is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
Gateway of India,Mumbai,west,heritage,heritage,low,winter,4.6,82.0,"Gateway of India is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,west,heritage,heritage,luxury,winter,4.6,65.0,"Chhatrapati Shivaji Maharaj Vastu Sangrahalaya is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
NCPA Tiger safari at Borivali,Mumbai,west,adventure,adventure,medium,summer,4.3,54.0,"NCPA Tiger safari at Borivali is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
Shopping at Colaba Causeway,Mumbai,west,city,shopping,low,all,4.2,71.0,"Shopping at Colaba Causeway is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
"Shopping at Linking road, Bandra",Mumbai,west,city,shopping,low,all,4.2,54.0,"Shopping at Linking road, Bandra is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
"Phoenix marketcity Mall, Kurla",Mumbai,west,city,shopping,low,all,4.5,91.0,"Phoenix marketcity Mall, Kurla is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
"Jio world drive mall, BKC",Mumbai,west,city,exploration,low,all,4.6,69.0,"Jio world drive mall, BKC is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
"Five gardens, Matunga",Mumbai,west,city,exploration,low,all,4.1,95.0,"Five gardens, Matunga is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
Worli seaface,Mumbai,west,religious,beach,low,all,4.5,62.0,"Worli seaface is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
Siddhivinayak Temple,Mumbai,west,religious,religious,low,all,4.8,55.0,"Siddhivinayak Temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
Mahalaxmi Temple,Mumbai,west,religious,religious,low,all,4.7,89.0,"Mahalaxmi Temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
Haji Ali Dargah,Mumbai,west,religious,religious,low,all,4.4,98.0,"Haji Ali Dargah is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
Chowpatty Beach,Mumbai,west,wildlife,beach,low,winter,4.3,89.0,"Chowpatty Beach is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
Essel World,Mumbai,west,adventure,adventure,luxury,summer,4.3,73.0,"Essel World is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
Elephanta Caves,Raigad,west,heritage,heritage,luxury,winter,4.3,52.0,"Elephanta Caves is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Tigers Leap cliff top,Lonavala,west,city,exploration,low,all,4.4,91.0,"Tigers Leap cliff top is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
Duke's nose trail,Lonavala,west,adventure,trekking,low,summer,4.3,70.0,"Duke's nose trail is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
Adlabs Imagica,Vadwal,west,adventure,adventure,luxury,summer,4.0,67.0,"Adlabs Imagica is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
Bhushi dam,Lonavala,west,wildlife,wildlife,low,winter,4.0,94.0,"Bhushi dam is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
Sunset at Lion's point,Aamby Valley,west,city,exploration,low,all,4.0,91.0,"Sunset at Lion's point is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
Bangalore Palace,Lonavala,south,heritage,heritage,luxury,winter,4.2,66.0,"Bangalore Palace is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Lalbagh Botanical Garden,Bengaluru,south,wildlife,wildlife,low,winter,4.4,53.0,"Lalbagh Botanical Garden is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Cubbon Park,Bengaluru,south,wildlife,wildlife,low,winter,4.4,66.0,"Cubbon Park is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Nehru Planetarium,Bengaluru,south,city,exploration,low,all,4.0,98.0,"Nehru Planetarium is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists"
National Gallery of Modern Art,Udarahalli,south,heritage,heritage,low,winter,4.3,98.0,"National Gallery of Modern Art is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Church street,Delhi,south,city,exploration,low,all,4.1,96.0,"Church street is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists"
MG Road,Udarahalli,south,city,exploration,low,all,4.2,58.0,"MG Road is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists"
Boating at Yediyur lake ,Bengaluru,south,adventure,photography,medium,summer,4.2,51.0,"Boating at Yediyur lake  is a adventure destination in karnataka known for trekking,rafting,paragliding. It is ideal for adventure lover"
Vidhana Soudha,Bengaluru,south,heritage,heritage,low,winter,4.6,94.0,"Vidhana Soudha is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers"
ISKCON Temple Bangalore,Bengaluru,south,religious,religious,low,all,4.6,71.0,"ISKCON Temple Bangalore is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
Charminar,Bengaluru,south,heritage,heritage,low,winter,4.5,53.0,"Charminar is a heritage destination in telangana known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Golconda Fort,Hyderabad,south,heritage,heritage,low,winter,4.4,80.0,"Golconda Fort is a heritage destination in telangana known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Hussain Sagar Lake,Hyderabad,south,wildlife,wildlife,low,winter,4.3,95.0,"Hussain Sagar Lake is a wildlife destination in telangana known for safari,photography,nature. It is ideal for history and cultural lover"
Ramoji Film City,Hyderabad,south,city,exploration,luxury,all,4.4,96.0,"Ramoji Film City is a city destination in telangana known for exploration,local experience. It is ideal for explorers and tourists"
Salar Jung Museum,Vellanki Agros,south,city,heritage,low,all,4.4,79.0,"Salar Jung Museum is a city destination in telangana known for exploration,local experience. It is ideal for explorers and tourists"
Qutb Shahi Tombs,Hyderabad,south,heritage,heritage,low,winter,4.4,52.0,"Qutb Shahi Tombs is a heritage destination in telangana known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Lad Bazaar ,Hyderabad,south,city,shopping,low,all,4.0,53.0,"Lad Bazaar  is a city destination in telangana known for exploration,local experience. It is ideal for explorers and tourists"
Birla Mandir,Hyderabad,south,religious,religious,low,all,4.7,97.0,"Birla Mandir is a religious destination in telangana known for temple,spiritual,peace. It is ideal for spiritual seekers"
Chowmahalla Palace,Gudur,south,heritage,heritage,medium,winter,4.4,52.0,"Chowmahalla Palace is a heritage destination in telangana known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Nehru Zoological Park,Hyderabad,south,wildlife,wildlife,medium,winter,4.2,92.0,"Nehru Zoological Park is a wildlife destination in telangana known for safari,photography,nature. It is ideal for history and cultural lover"
Infinite adventure club,Hyderabad,south,adventure,adventure,luxury,summer,4.4,89.0,"Infinite adventure club is a adventure destination in telangana known for trekking,rafting,paragliding. It is ideal for adventure lover"
Lumbini Park,Hyderabad,south,wildlife,wildlife,low,winter,4.1,77.0,"Lumbini Park is a wildlife destination in telangana known for safari,photography,nature. It is ideal for history and cultural lover"
Victoria Memorial,Hyderabad,east,heritage,heritage,low,winter,4.6,72.0,"Victoria Memorial is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Howrah Bridge,Kolkata,east,heritage,heritage,low,winter,4.6,79.0,"Howrah Bridge is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Indian Museum,Howrah,east,city,heritage,medium,all,4.6,94.0,"Indian Museum is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Ganga aarti,Kolkata,east,religious,religious,low,all,4.6,83.0,"Ganga aarti is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
Birla Planetarium,Siddharthnagar,east,city,exploration,medium,all,4.4,77.0,"Birla Planetarium is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
St.Pauls Cathedral,Kolkata,east,religious,religious,low,all,4.2,63.0,"St.Pauls Cathedral is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
Tiretti Bazaar,Kolkata,east,city,shopping,low,all,4.1,92.0,"Tiretti Bazaar is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Princep Ghat,Kolkata,east,heritage,heritage,low,winter,4.3,68.0,"Princep Ghat is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Kumartali potter's quarter,Kolkata,east,city,exploration,low,all,4.4,83.0,"Kumartali potter's quarter is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Shopping at Chamba lama,Kolkata,east,city,shopping,low,all,4.3,72.0,"Shopping at Chamba lama is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Burra Bazaar,Kolkata,east,city,shopping,low,all,4.0,81.0,"Burra Bazaar is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Dakshineswar Kali Temple,Kolkata,east,religious,religious,low,all,4.7,89.0,"Dakshineswar Kali Temple is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
Kalighat Kali Temple,Kolkata,east,religious,religious,low,all,4.4,74.0,"Kalighat Kali Temple is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
Eden Gardens,Kolkata,east,city,exploration,luxury,all,4.1,93.0,"Eden Gardens is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Alipore Zoological Gardens,Kolkata,east,wildlife,wildlife,low,winter,4.3,97.0,"Alipore Zoological Gardens is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Science City Kolkata,Kolkata,east,city,exploration,medium,all,4.4,96.0,"Science City Kolkata is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Belur Math,Kolkata,east,religious,religious,low,all,4.7,52.0,"Belur Math is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
Marble Palace,Howrah,east,heritage,heritage,low,winter,4.4,71.0,"Marble Palace is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Basilica of Bom Jesus,Panaji,west,religious,religious,low,all,4.5,69.0,"Basilica of Bom Jesus is a religious destination in goa known for temple,spiritual,peace. It is ideal for spiritual seekers"
Fort Aguada,Panaji,west,heritage,heritage,low,winter,4.2,93.0,"Fort Aguada is a heritage destination in goa known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Dudhsagar Falls,Sinquerim,west,wildlife,wildlife,luxury,winter,4.6,60.0,"Dudhsagar Falls is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
Anjuna Beach,Collem,west,adventure,beach,low,summer,4.4,64.0,"Anjuna Beach is a adventure destination in goa known for trekking,rafting,paragliding. It is ideal for adventure lover"
Chapora Fort,North Goa,west,heritage,heritage,low,winter,4.2,99.0,"Chapora Fort is a heritage destination in goa known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Se Cathedral,Vagator,west,religious,religious,low,all,4.5,87.0,"Se Cathedral is a religious destination in goa known for temple,spiritual,peace. It is ideal for spiritual seekers"
Baga Beach,Panaji,west,wildlife,beach,low,winter,4.5,99.0,"Baga Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
Candolim Beach,Calangute,west,wildlife,beach,low,winter,4.4,61.0,"Candolim Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
Fontainhas colony,North Goa,west,heritage,heritage,low,winter,4.2,97.0,"Fontainhas colony is a heritage destination in goa known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Shopping at M.G.Road,Panaji,west,city,shopping,low,all,4.1,99.0,"Shopping at M.G.Road is a city destination in goa known for exploration,local experience. It is ideal for explorers and tourists"
Gallery Gitanjali,Bengaluru,west,city,exploration,low,all,4.5,72.0,"Gallery Gitanjali is a city destination in goa known for exploration,local experience. It is ideal for explorers and tourists"
Our Lady of Immaculate Conception Church,Panaji,west,religious,religious,low,all,4.4,68.0,"Our Lady of Immaculate Conception Church is a religious destination in goa known for temple,spiritual,peace. It is ideal for spiritual seekers"
Old Goa,Panaji,west,heritage,heritage,low,winter,4.5,71.0,"Old Goa is a heritage destination in goa known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Arambol Beach,Panaji,west,wildlife,beach,low,winter,4.6,86.0,"Arambol Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
Palolem Beach,North Goa,west,wildlife,beach,low,winter,4.6,60.0,"Palolem Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
Colva Beach,Palolem,west,wildlife,beach,low,winter,4.3,55.0,"Colva Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
Miramar Beach,Colva,west,wildlife,beach,low,winter,4.2,71.0,"Miramar Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
Dr. Salim Ali Bird Santuary,Panaji,west,wildlife,wildlife,low,winter,3.9,51.0,"Dr. Salim Ali Bird Santuary is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover"
Statue of Unity,Thattekad,west,heritage,heritage,medium,winter,4.6,78.0,"Statue of Unity is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Jhulta Minara,Narmada,west,heritage,heritage,low,winter,4.1,71.0,"Jhulta Minara is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Auto World Vintage Car Museum,Ahmedabad,west,city,heritage,medium,all,4.4,86.0,"Auto World Vintage Car Museum is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists"
Sabarmati Ashram,Ahmedabad,west,heritage,heritage,low,winter,4.6,59.0,"Sabarmati Ashram is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Dwarka Beach & Lighthouse,Navrangpura,west,wildlife,beach,low,winter,4.6,85.0,"Dwarka Beach & Lighthouse is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover"
Rukmini Devi Mandir,Ghanshyam Nagar,west,religious,religious,low,all,4.6,86.0,"Rukmini Devi Mandir is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
Shri Nageshwar Jyotirling,Ghanshyam Nagar,west,religious,religious,low,all,4.7,78.0,"Shri Nageshwar Jyotirling is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
Dwarkadhish Temple,Ghanshyam Nagar,west,religious,religious,low,all,4.7,52.0,"Dwarkadhish Temple is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
Mahabat Maqbara Palace,Devbhumi Dwarka,west,heritage,heritage,low,winter,4.4,90.0,"Mahabat Maqbara Palace is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Uparkot Fort,Junagadh,west,heritage,wildlife,low,winter,4.3,84.0,"Uparkot Fort is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Sakkarbaug Zoological Park,Junagadh,west,wildlife,wildlife,low,winter,4.3,72.0,"Sakkarbaug Zoological Park is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover"
Gir National Park,Junagadh,west,wildlife,wildlife,luxury,winter,4.5,99.0,"Gir National Park is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover"
Bhuj Mandir,Bhuj,west,religious,religious,low,all,4.7,96.0,"Bhuj Mandir is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
Chhatardi Bhuj,Bhuj,west,heritage,heritage,low,winter,4.4,62.0,"Chhatardi Bhuj is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
White Desert,Bhuj,west,wildlife,wildlife,low,winter,4.6,97.0,"White Desert is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover"
Sayaji Baug Zoo,Vadodara,west,wildlife,wildlife,low,winter,4.4,95.0,"Sayaji Baug Zoo is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover"
Inorbit Mall Vadodara,Vadodara,west,city,shopping,low,all,4.5,93.0,"Inorbit Mall Vadodara is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists"
Baroda Museum &Gallery,Vadodara,west,city,heritage,low,all,4.5,60.0,"Baroda Museum &Gallery is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists"
BAPS Shri Swaminarayan Mandir,Vadodara,west,religious,religious,low,all,4.5,73.0,"BAPS Shri Swaminarayan Mandir is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
Mandvi Gate,Vadodara,west,heritage,heritage,low,winter,4.4,62.0,"Mandvi Gate is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Laxmi Vilas Palace,Vadodara,west,heritage,heritage,high,winter,4.4,74.0,"Laxmi Vilas Palace is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Somnath Beach,Vadodara,west,religious,beach,low,all,4.5,86.0,"Somnath Beach is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
Somnath Temple,Veraval,west,religious,religious,low,all,4.8,89.0,"Somnath Temple is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
Adalaj Stepwell,Veraval,west,heritage,heritage,low,winter,4.5,85.0,"Adalaj Stepwell is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Sarita Udyan,Adalaj,west,city,exploration,low,all,4.4,69.0,"Sarita Udyan is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists"
Swaminarayan Akshardham,Gandhinagar,west,religious,religious,low,all,4.6,53.0,"Swaminarayan Akshardham is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers"
Dandi Kutir,Delhi,west,city,exploration,low,all,4.5,62.0,"Dandi Kutir is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists"
Sabarmati Riverfront,Gandhinagar,west,city,exploration,low,all,4.6,54.0,"Sabarmati Riverfront is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists"
Manek Chowk,Ahmedabad,west,city,shopping,low,all,4.4,82.0,"Manek Chowk is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists"
Kankaria Lake,Ahmedabad,west,wildlife,wildlife,low,winter,4.5,86.0,"Kankaria Lake is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover"
Science City,Ahmedabad,west,city,exploration,luxury,all,4.4,75.0,"Science City is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists"
Birla Mandir,Ahmedabad,west,religious,religious,low,all,4.6,71.0,"Birla Mandir is a religious destination in rajasthan known for temple,spiritual,peace. It is ideal for spiritual seekers"
Shree Khole Ki Hanuman Mandir,Jaipur,west,religious,religious,low,all,4.8,77.0,"Shree Khole Ki Hanuman Mandir is a religious destination in rajasthan known for temple,spiritual,peace. It is ideal for spiritual seekers"
Cental Park,Jaipur,west,wildlife,wildlife,low,winter,4.6,92.0,"Cental Park is a wildlife destination in rajasthan known for safari,photography,nature. It is ideal for history and cultural lover"
Moti Dungri Ganesh Ji Temple,Jaipur,west,religious,religious,low,all,4.8,52.0,"Moti Dungri Ganesh Ji Temple is a religious destination in rajasthan known for temple,spiritual,peace. It is ideal for spiritual seekers"
Jantar Mantar,Jaipur,west,city,exploration,low,all,4.5,51.0,"Jantar Mantar is a city destination in rajasthan known for exploration,local experience. It is ideal for explorers and tourists"
Amber Palace,Delhi,west,heritage,heritage,low,winter,4.6,80.0,"Amber Palace is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Hawa Mahal,Jaipur,west,heritage,heritage,medium,winter,4.4,93.0,"Hawa Mahal is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Lake Pichola,Jaipur,west,wildlife,wildlife,low,winter,4.7,62.0,"Lake Pichola is a wildlife destination in rajasthan known for safari,photography,nature. It is ideal for history and cultural lover"
Jagdish Temple,Udaipur,west,religious,religious,low,all,4.7,78.0,"Jagdish Temple is a religious destination in rajasthan known for temple,spiritual,peace. It is ideal for spiritual seekers"
Ambrai Ghat,Udaipur,west,city,exploration,low,all,4.7,54.0,"Ambrai Ghat is a city destination in rajasthan known for exploration,local experience. It is ideal for explorers and tourists"
Saheliyon ki Bari,Udaipur,west,wildlife,wildlife,medium,winter,4.4,87.0,"Saheliyon ki Bari is a wildlife destination in rajasthan known for safari,photography,nature. It is ideal for history and cultural lover"
Sajjangarh Monsoon Palace,Udaipur,west,heritage,heritage,medium,winter,4.4,57.0,"Sajjangarh Monsoon Palace is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Bagore ki Haveli,Galera,west,heritage,heritage,low,winter,4.5,81.0,"Bagore ki Haveli is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Karni Mata Temple,Udaipur,west,religious,religious,low,all,4.0,59.0,"Karni Mata Temple is a religious destination in rajasthan known for temple,spiritual,peace. It is ideal for spiritual seekers"
City Palace,Deshnoke,west,heritage,heritage,high,winter,4.4,65.0,"City Palace is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Patwa Haweli,Jaisalmer,west,heritage,heritage,low,winter,4.3,86.0,"Patwa Haweli is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Longewala War memorial,Jaisalmer,west,heritage,heritage,medium,winter,4.8,91.0,"Longewala War memorial is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Gadisar Lake,Jaisalmer,west,wildlife,wildlife,low,winter,4.4,84.0,"Gadisar Lake is a wildlife destination in rajasthan known for safari,photography,nature. It is ideal for history and cultural lover"
Jaisalmer Fort,Jaisalmer,west,heritage,heritage,medium,winter,4.4,53.0,"Jaisalmer Fort is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Trinetra Ganesh Temple,Jaisalmer,west,religious,religious,low,all,4.7,72.0,"Trinetra Ganesh Temple is a religious destination in rajasthan known for temple,spiritual,peace. It is ideal for spiritual seekers"
Ranthambore Fort,Sawai Madhopur,west,heritage,heritage,low,winter,4.5,65.0,"Ranthambore Fort is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Ranthambore National Park,Sawai Madhopur,west,wildlife,wildlife,luxury,winter,4.6,81.0,"Ranthambore National Park is a wildlife destination in rajasthan known for safari,photography,nature. It is ideal for history and cultural lover"
Adhai Din ka Jhopra,Mei Khurd,west,heritage,heritage,medium,winter,4.4,58.0,"Adhai Din ka Jhopra is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Anasagar Lake,Ajmer,west,wildlife,wildlife,low,winter,4.5,60.0,"Anasagar Lake is a wildlife destination in rajasthan known for safari,photography,nature. It is ideal for history and cultural lover"
Khwaja Gharib Nawaz Dargah ,Ajmer,west,religious,religious,low,all,4.6,91.0,"Khwaja Gharib Nawaz Dargah  is a religious destination in rajasthan known for temple,spiritual,peace. It is ideal for spiritual seekers"
Jaswant Thada,Jalgaon,west,heritage,heritage,low,winter,4.4,77.0,"Jaswant Thada is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Umaid Bhawan Palace,Jodhpur,west,heritage,heritage,medium,winter,4.5,56.0,"Umaid Bhawan Palace is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Mehrangarh Fort,Jodhpur,west,heritage,heritage,medium,winter,4.6,71.0,"Mehrangarh Fort is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Nakki Lake,Jodhpur,west,wildlife,wildlife,low,winter,4.4,53.0,"Nakki Lake is a wildlife destination in rajasthan known for safari,photography,nature. It is ideal for history and cultural lover"
Dilwara Temples,Mount Abu,west,religious,religious,low,all,4.6,72.0,"Dilwara Temples is a religious destination in rajasthan known for temple,spiritual,peace. It is ideal for spiritual seekers"
Nahargarh Fort,Mount Abu,west,heritage,heritage,medium,winter,4.6,78.0,"Nahargarh Fort is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
