state,destination,latitude,longitude,interest,region,type,activities,budget_category,best_season,rating,popularity_score,description,score
delhi,Qutub Minar,28.5244946,77.1855177,cultural & heritage sites,North,heritage,"culture,forts,shopping,history",low,winter,4.5,94.0,"Qutub Minar is a heritage destination in delhi known for culture,forts,shopping,history. It is ideal for history and culture lovers",4.78
delhi,Shopping at Sarojini Nagar,28.5740324,77.1990669,shopping & markets,North,city,"exploration,local experience",low,All,4.2,51.0,"Shopping at Sarojini Nagar is a city destination in delhi known for exploration,local experience. It is ideal for explorers and tourists",3.86
delhi,National Science Centre,28.6127836,77.2455584,"arts, science & literature attractions",North,city,"exploration,local experience",medium,All,4.4,85.0,"National Science Centre is a city destination in delhi known for exploration,local experience. It is ideal for explorers and tourists",4.58
maharashtra,Marine Drive,18.9432111,72.8229983,sightseeing & exploration,West,city,"exploration,local experience",low,All,4.5,54.0,"Marine Drive is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",1.98
maharashtra,Gateway of India,18.9219841,72.8346543,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.6,82.0,"Gateway of India is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.56
maharashtra,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,18.9269015,72.8326916,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",luxury,winter,4.6,65.0,"Chhatrapati Shivaji Maharaj Vastu Sangrahalaya is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.2199999999999998
maharashtra,NCPA Tiger safari at Borivali,19.2307329,72.856673,adventure & outdoor activities,West,adventure,"trekking,rafting,paragliding",medium,summer,4.3,54.0,"NCPA Tiger safari at Borivali is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover",9.94
maharashtra,Shopping at Colaba Causeway,18.9246447,72.8321315,shopping & markets,West,city,"exploration,local experience",low,All,4.2,71.0,"Shopping at Colaba Causeway is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",2.26
maharashtra,"Shopping at Linking road, Bandra",19.0642357,72.8349124,shopping & markets,West,city,"exploration,local experience",low,All,4.2,54.0,"Shopping at Linking road, Bandra is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",1.9200000000000002
maharashtra,"Phoenix marketcity Mall, Kurla",19.0863795,72.8889774,shopping & markets,West,city,"exploration,local experience",low,All,4.5,91.0,"Phoenix marketcity Mall, Kurla is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",2.72
maharashtra,"Jio world drive mall, BKC",19.0543152,72.8515712,"arts, science & literature attractions",West,city,"exploration,local experience",low,All,4.6,69.0,"Jio world drive mall, BKC is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",2.3
maharashtra,"Five gardens, Matunga",19.019747,72.854312,sightseeing & exploration,West,city,"exploration,local experience",low,All,4.1,95.0,"Five gardens, Matunga is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",2.72
maharashtra,Worli seaface,19.0091432,72.8157283,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.5,62.0,"Worli seaface is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers",2.14
maharashtra,Siddhivinayak Temple,19.01699,72.8303997,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.8,55.0,"Siddhivinayak Temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers",2.06
maharashtra,Mahalaxmi Temple,18.9773,72.8066,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.7,89.0,"Mahalaxmi Temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers",2.72
maharashtra,Haji Ali Dargah,18.9828273,72.8088966,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.4,98.0,"Haji Ali Dargah is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers",2.84
maharashtra,Chowpatty Beach,18.9518622,72.8165592,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.3,89.0,"Chowpatty Beach is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover",2.64
maharashtra,Essel World,19.230098,72.8013252,adventure & outdoor activities,West,adventure,"trekking,rafting,paragliding",luxury,summer,4.3,73.0,"Essel World is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover",10.32
maharashtra,Elephanta Caves,18.9633474,72.9314864,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",luxury,winter,4.3,52.0,"Elephanta Caves is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",1.9
maharashtra,Tigers Leap cliff top,18.6961,73.3852,sightseeing & exploration,West,city,"exploration,local experience",low,All,4.4,91.0,"Tigers Leap cliff top is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",2.7
maharashtra,Duke's nose trail,18.7323921,73.3678196,adventure & outdoor activities,West,adventure,"trekking,rafting,paragliding",low,summer,4.3,70.0,"Duke's nose trail is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover",10.26
maharashtra,Adlabs Imagica,18.7679396,73.2823206,adventure & outdoor activities,West,adventure,"trekking,rafting,paragliding",luxury,summer,4.0,67.0,"Adlabs Imagica is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover",10.14
maharashtra,Bhushi dam,18.7224264,73.3962885,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.0,94.0,"Bhushi dam is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover",2.68
maharashtra,Sunset at Lion's point,18.608297,73.3864648,sightseeing & exploration,West,city,"exploration,local experience",low,All,4.0,91.0,"Sunset at Lion's point is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",2.62
karnataka,Bangalore Palace,18.699917,73.3859496,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",luxury,winter,4.2,66.0,"Bangalore Palace is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.16
karnataka,Lalbagh Botanical Garden,13.0035068,77.5890953,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.4,53.0,"Lalbagh Botanical Garden is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",1.9400000000000002
karnataka,Cubbon Park,12.9494158,77.5846805,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.4,66.0,"Cubbon Park is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.2
karnataka,Nehru Planetarium,12.9779291,77.5951549,"arts, science & literature attractions",South,city,"exploration,local experience",low,All,4.0,98.0,"Nehru Planetarium is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists",2.76
karnataka,National Gallery of Modern Art,12.5923,77.3517,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.3,98.0,"National Gallery of Modern Art is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.82
karnataka,Church street,28.6101926,77.2344179,sightseeing & exploration,South,city,"exploration,local experience",low,All,4.1,96.0,"Church street is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists",2.7399999999999998
karnataka,MG Road,12.582568,77.364279,sightseeing & exploration,South,city,"exploration,local experience",low,All,4.2,58.0,"MG Road is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists",2.0
karnataka,Boating at Yediyur lake ,12.9747587,77.6093926,adventure & outdoor activities,South,adventure,"trekking,rafting,paragliding",medium,summer,4.2,51.0,"Boating at Yediyur lake  is a adventure destination in karnataka known for trekking,rafting,paragliding. It is ideal for adventure lover",9.86
karnataka,Vidhana Soudha,12.93349,77.5766285,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.6,94.0,"Vidhana Soudha is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.8
karnataka,ISKCON Temple Bangalore,12.9796121,77.5908462,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.6,71.0,"ISKCON Temple Bangalore is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",2.34
telangana,Charminar,13.0098328,77.5510964,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.5,53.0,"Charminar is a heritage destination in telangana known for culture,forts,shopping,history. It is ideal for history and culture lovers",1.96
telangana,Golconda Fort,17.3615636,78.4746645,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.4,80.0,"Golconda Fort is a heritage destination in telangana known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.4800000000000004
telangana,Hussain Sagar Lake,17.383309,78.4010528,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.3,95.0,"Hussain Sagar Lake is a wildlife destination in telangana known for safari,photography,nature. It is ideal for history and cultural lover",2.7600000000000002
telangana,Ramoji Film City,17.4238798,78.4738215,"arts, science & literature attractions",South,city,"exploration,local experience",luxury,All,4.4,96.0,"Ramoji Film City is a city destination in telangana known for exploration,local experience. It is ideal for explorers and tourists",2.8
telangana,Salar Jung Museum,17.221713,78.284925,"arts, science & literature attractions",South,city,"exploration,local experience",low,All,4.4,79.0,"Salar Jung Museum is a city destination in telangana known for exploration,local experience. It is ideal for explorers and tourists",2.46
telangana,Qutb Shahi Tombs,17.3716084,78.4802439,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.4,52.0,"Qutb Shahi Tombs is a heritage destination in telangana known for culture,forts,shopping,history. It is ideal for history and culture lovers",1.9200000000000002
telangana,Lad Bazaar ,17.3973706,78.4001141,shopping & markets,South,city,"exploration,local experience",low,All,4.0,53.0,"Lad Bazaar  is a city destination in telangana known for exploration,local experience. It is ideal for explorers and tourists",1.86
telangana,Birla Mandir,17.3628791,78.4741288,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.7,97.0,"Birla Mandir is a religious destination in telangana known for temple,spiritual,peace. It is ideal for spiritual seekers",2.88
telangana,Chowmahalla Palace,17.212781,78.281814,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",medium,winter,4.4,52.0,"Chowmahalla Palace is a heritage destination in telangana known for culture,forts,shopping,history. It is ideal for history and culture lovers",1.9200000000000002
telangana,Nehru Zoological Park,17.3578233,78.4716897,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",medium,winter,4.2,92.0,"Nehru Zoological Park is a wildlife destination in telangana known for safari,photography,nature. It is ideal for history and cultural lover",2.68
telangana,Infinite adventure club,17.3483047,78.4425108,adventure & outdoor activities,South,adventure,"trekking,rafting,paragliding",luxury,summer,4.4,89.0,"Infinite adventure club is a adventure destination in telangana known for trekking,rafting,paragliding. It is ideal for adventure lover",10.66
telangana,Lumbini Park,17.4458759,78.4186335,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.1,77.0,"Lumbini Park is a wildlife destination in telangana known for safari,photography,nature. It is ideal for history and cultural lover",2.36
west bengal,Victoria Memorial,17.4096811,78.4724344,cultural & heritage sites,East,heritage,"culture,forts,shopping,history",low,winter,4.6,72.0,"Victoria Memorial is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.36
west bengal,Howrah Bridge,22.5448082,88.3425578,cultural & heritage sites,East,heritage,"culture,forts,shopping,history",low,winter,4.6,79.0,"Howrah Bridge is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.5
west bengal,Indian Museum,22.5851433,88.3468005,"arts, science & literature attractions",East,city,"exploration,local experience",medium,All,4.6,94.0,"Indian Museum is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists",2.8
west bengal,Ganga aarti,22.5578858,88.3511268,religious & spiritual pilgrimages,East,religious,"temple,spiritual,peace",low,all,4.6,83.0,"Ganga aarti is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers",2.58
west bengal,Birla Planetarium,27.40364009,83.00912405,"arts, science & literature attractions",East,city,"exploration,local experience",medium,All,4.4,77.0,"Birla Planetarium is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists",2.42
west bengal,St.Pauls Cathedral,22.5455141,88.3473163,religious & spiritual pilgrimages,East,religious,"temple,spiritual,peace",low,all,4.2,63.0,"St.Pauls Cathedral is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers",2.1
west bengal,Tiretti Bazaar,22.57285,88.356,shopping & markets,East,city,"exploration,local experience",low,All,4.1,92.0,"Tiretti Bazaar is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists",2.66
west bengal,Princep Ghat,22.5739086,88.3555988,cultural & heritage sites,East,heritage,"culture,forts,shopping,history",low,winter,4.3,68.0,"Princep Ghat is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.22
west bengal,Kumartali potter's quarter,22.5552828,88.3311699,"arts, science & literature attractions",East,city,"exploration,local experience",low,All,4.4,83.0,"Kumartali potter's quarter is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists",2.54
west bengal,Shopping at Chamba lama,22.6000017,88.3612679,shopping & markets,East,city,"exploration,local experience",low,All,4.3,72.0,"Shopping at Chamba lama is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists",2.3
west bengal,Burra Bazaar,22.5599918,88.3531374,shopping & markets,East,city,"exploration,local experience",low,All,4.0,81.0,"Burra Bazaar is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists",2.42
west bengal,Dakshineswar Kali Temple,22.5817406,88.3543972,religious & spiritual pilgrimages,East,religious,"temple,spiritual,peace",low,all,4.7,89.0,"Dakshineswar Kali Temple is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers",2.72
west bengal,Kalighat Kali Temple,22.6549087,88.3575307,religious & spiritual pilgrimages,East,religious,"temple,spiritual,peace",low,all,4.4,74.0,"Kalighat Kali Temple is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers",2.3600000000000003
west bengal,Eden Gardens,22.5202798,88.3420877,sports & recreation,East,city,"exploration,local experience",luxury,All,4.1,93.0,"Eden Gardens is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists",2.68
west bengal,Alipore Zoological Gardens,22.5646081,88.3432645,natural landscapes & wildlife,East,wildlife,"safari,photography,nature",low,winter,4.3,97.0,"Alipore Zoological Gardens is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover",2.8
west bengal,Science City Kolkata,22.5370343,88.3316697,"arts, science & literature attractions",East,city,"exploration,local experience",medium,All,4.4,96.0,"Science City Kolkata is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists",2.8
west bengal,Belur Math,22.5401381,88.3960564,religious & spiritual pilgrimages,East,religious,"temple,spiritual,peace",low,all,4.7,52.0,"Belur Math is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers",1.98
west bengal,Marble Palace,22.6326565,88.3563815,cultural & heritage sites,East,heritage,"culture,forts,shopping,history",low,winter,4.4,71.0,"Marble Palace is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.3
goa,Basilica of Bom Jesus,15.5008,73.9114,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.5,69.0,"Basilica of Bom Jesus is a religious destination in goa known for temple,spiritual,peace. It is ideal for spiritual seekers",2.2800000000000002
goa,Fort Aguada,15.5008238,73.9114061,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.2,93.0,"Fort Aguada is a heritage destination in goa known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.7
goa,Dudhsagar Falls,15.4922519,73.7737462,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",luxury,winter,4.6,60.0,"Dudhsagar Falls is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover",2.12
goa,Anjuna Beach,15.3144375,74.3143073,adventure & outdoor activities,West,adventure,"trekking,rafting,paragliding",low,summer,4.4,64.0,"Anjuna Beach is a adventure destination in goa known for trekking,rafting,paragliding. It is ideal for adventure lover",10.16
goa,Chapora Fort,15.5733497,73.7409781,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.2,99.0,"Chapora Fort is a heritage destination in goa known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.8200000000000003
goa,Se Cathedral,15.6046375,73.7369631,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.5,87.0,"Se Cathedral is a religious destination in goa known for temple,spiritual,peace. It is ideal for spiritual seekers",2.64
goa,Baga Beach,15.5038769,73.9121918,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.5,99.0,"Baga Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover",2.88
goa,Candolim Beach,15.5552787,73.7517307,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.4,61.0,"Candolim Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover",2.1
goa,Fontainhas colony,15.5179749,73.7626122,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.2,97.0,"Fontainhas colony is a heritage destination in goa known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.7800000000000002
goa,Shopping at M.G.Road,15.4941033,73.8300775,shopping & markets,West,city,"exploration,local experience",low,All,4.1,99.0,"Shopping at M.G.Road is a city destination in goa known for exploration,local experience. It is ideal for explorers and tourists",2.8
goa,Gallery Gitanjali,12.9747587,77.6093926,"arts, science & literature attractions",West,city,"exploration,local experience",low,All,4.5,72.0,"Gallery Gitanjali is a city destination in goa known for exploration,local experience. It is ideal for explorers and tourists",2.34
goa,Our Lady of Immaculate Conception Church,15.4986,73.8294,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.4,68.0,"Our Lady of Immaculate Conception Church is a religious destination in goa known for temple,spiritual,peace. It is ideal for spiritual seekers",2.24
goa,Old Goa,15.5014,73.9135,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.5,71.0,"Old Goa is a heritage destination in goa known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.32
goa,Arambol Beach,15.501984,73.9100068,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.6,86.0,"Arambol Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover",2.6399999999999997
goa,Palolem Beach,15.6846886,73.7032836,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.6,60.0,"Palolem Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover",2.12
goa,Colva Beach,15.0099648,74.0232186,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.3,55.0,"Colva Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover",1.96
goa,Miramar Beach,15.2805316,73.9119945,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.2,71.0,"Miramar Beach is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover",2.26
goa,Dr. Salim Ali Bird Santuary,15.513,73.8704,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,3.9,51.0,"Dr. Salim Ali Bird Santuary is a wildlife destination in goa known for safari,photography,nature. It is ideal for history and cultural lover",1.8
gujarat,Statue of Unity,10.1335031,76.6860267,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",medium,winter,4.6,78.0,"Statue of Unity is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.48
gujarat,Jhulta Minara,21.8380184,73.7190728,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.1,71.0,"Jhulta Minara is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.2399999999999998
gujarat,Auto World Vintage Car Museum,23.0236789,72.5998114,"arts, science & literature attractions",West,city,"exploration,local experience",medium,All,4.4,86.0,"Auto World Vintage Car Museum is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists",2.6
gujarat,Sabarmati Ashram,23.0572846,72.6872617,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.6,59.0,"Sabarmati Ashram is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.0999999999999996
gujarat,Dwarka Beach & Lighthouse,23.0358621,72.5701089,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.6,85.0,"Dwarka Beach & Lighthouse is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover",2.62
gujarat,Rukmini Devi Mandir,22.2441975,68.9684562,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.6,86.0,"Rukmini Devi Mandir is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers",2.6399999999999997
gujarat,Shri Nageshwar Jyotirling,22.2573143,68.9644191,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.7,78.0,"Shri Nageshwar Jyotirling is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers",2.5
gujarat,Dwarkadhish Temple,22.3359636,69.0870088,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.7,52.0,"Dwarkadhish Temple is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers",1.98
gujarat,Mahabat Maqbara Palace,22.2371082,68.9676255,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.4,90.0,"Mahabat Maqbara Palace is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.68
gujarat,Uparkot Fort,21.5275733,70.4599927,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.3,84.0,"Uparkot Fort is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.54
gujarat,Sakkarbaug Zoological Park,21.5247475,70.4700532,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.3,72.0,"Sakkarbaug Zoological Park is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover",2.3
gujarat,Gir National Park,21.5418892,70.4646275,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",luxury,winter,4.5,99.0,"Gir National Park is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover",2.88
gujarat,Aina Mahal Palace,21.0842848,70.7944414,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.2,50.0,"Aina Mahal Palace is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers",1.84
gujarat,Bhuj Mandir,23.2553595,69.6685614,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.7,96.0,"Bhuj Mandir is a religious destination in gujarat known for temple,spiritual,peace. It is ideal for spiritual seekers",2.86
gujarat,Chhatardi Bhuj,23.2419997,69.6669324,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.4,62.0,"Chhatardi Bhuj is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.12
gujarat,Vande Mataram Memorial,23.2457731,69.6581727,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",medium,winter,4.6,50.0,"Vande Mataram Memorial is a heritage destination in gujarat known for culture,forts,shopping,history. It is ideal for history and culture lovers",1.92
gujarat,White Desert,23.2187507,69.73645,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.6,97.0,"White Desert is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover",2.86
gujarat,Sayaji Baug Zoo,22.3115,73.19,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.4,95.0,"Sayaji Baug Zoo is a wildlife destination in gujarat known for safari,photography,nature. It is ideal for history and cultural lover",2.7800000000000002
gujarat,Inorbit Mall Vadodara,22.3114569,73.191386,shopping & markets,West,city,"exploration,local experience",low,All,4.5,93.0,"Inorbit Mall Vadodara is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists",2.7600000000000002
gujarat,Baroda Museum &Gallery,22.3223271,73.1655842,"arts, science & literature attractions",West,city,"exploration,local experience",low,All,4.5,60.0,"Baroda Museum &Gallery is a city destination in gujarat known for exploration,local experience. It is ideal for explorers and tourists",2.1
